Timestamp,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
2024-09-13,135.310737,134.943604,135.288068,135.811386,134.189956,135.736540,151.149921,160.770163,181.484178,175.001159,171.778235,179.456494,176.100719,177.470029,174.440437,179.158487,176.362054,180.321420,188.481509,184.832368,179.776158,160.439214,159.830099,154.365102
2024-09-14,133.585443,133.817766,133.024863,135.390476,136.800485,136.462090,151.229988,156.685849,184.827936,176.569333,171.162811,172.155356,174.289731,173.556336,169.861412,171.037558,177.179209,183.705051,181.485085,179.380048,176.239494,157.985019,154.139931,151.840526
2024-09-15,135.919713,129.218917,133.067905,133.990147,134.171201,132.176213,139.609181,149.483243,155.461489,150.407167,152.730316,153.943694,149.810344,151.281354,150.105228,154.402830,153.774069,161.743645,156.483964,158.918588,157.882340,144.731741,143.100922,139.977856
2024-09-16,132.521802,130.684963,133.687221,135.904394,134.022331,134.113226,145.143016,151.994346,166.969909,156.148525,154.125994,159.621037,158.201000,155.581892,152.983442,155.866005,158.641339,158.188806,164.812480,163.724729,155.742750,146.981283,148.549332,145.203391
2024-09-17,134.613192,134.678552,134.759125,131.875450,133.313334,135.707728,152.845692,163.031783,184.006575,174.700902,170.959775,174.756215,177.806836,172.598789,173.144620,178.287781,176.433965,183.780833,185.358488,181.400515,177.456752,160.956549,159.163197,150.411597
2024-09-18,137.558059,131.188582,132.554365,134.886887,134.228725,132.503844,144.188776,151.573156,162.264746,161.456248,158.138079,163.231976,159.974986,161.360814,155.101136,159.515175,163.472636,168.179539,164.391746,160.900621,164.083558,153.102416,150.569539,147.466453
2024-09-19,136.184704,133.722094,134.386384,132.399872,132.285031,134.274246,146.485292,158.127633,175.195055,165.509024,167.537331,168.008781,166.732064,164.804691,161.196489,169.484314,168.741233,167.864899,171.404465,172.779288,167.980234,157.126655,149.843677,145.930408
2024-09-20,135.544434,134.195341,134.873456,132.560418,134.794239,133.093854,142.768589,148.507950,169.656503,162.986850,158.494738,161.228007,161.284536,160.189000,159.629877,160.132967,158.310141,169.695298,173.226436,164.354718,158.891542,149.141257,147.436162,146.222567
2024-09-21,135.639206,134.430165,134.625325,134.606964,134.001104,137.982561,149.257437,153.291297,174.472426,167.908680,162.622182,166.237632,161.609954,164.038330,160.205096,164.098734,166.490204,174.043430,170.577969,166.178662,164.582572,155.461043,148.840472,149.133637
2024-09-22,139.584196,139.886686,140.114966,137.217503,135.011536,141.878523,155.371218,171.169086,200.518702,188.707929,191.643829,196.889725,190.626265,190.812612,187.616859,193.179288,192.742115,191.513081,205.572544,190.746754,191.078024,172.413431,165.185577,157.046667
2024-09-23,131.918505,133.779010,131.339226,132.024015,132.910706,132.451655,147.886955,146.077459,161.348169,159.004581,156.980890,156.302612,156.021672,154.310607,157.061029,157.132561,155.306092,165.342819,162.417830,156.701879,157.961657,149.733056,144.745219,141.087032
